year,countryname,countrycode,china_im_fr_i,china_ex_to_i,diplomcy,dist,va,psv,ge,rq,rl,cc,gdp,population_total,gdp_per_capita,trade,arms,military,financial,travel,ASEAN.1,RCEP,AIIB,NDB,SCO,BFTA,FTA,ORG,partnership,partnership2,dip_age,WGI,exportdep,importdep,economy,arms_and_military,xi,dist_std,dip_age_std,population_total_std,gdp_std,china_ex_to_i_std,china_im_fr_i_std,exportdep_std,importdep_std,trade_std,arms_std,military_std,financial_std,travel_std,va_std,psv_std,ge_std,rq_std,rl_std,cc_std,WGI_std,econ_PC1,econ_PC2,econ_PC3,econ_PC4,econ_PC5,sanct_PC1,sanct_PC2,sanct_PC3,sanct_PC4,sanct_PC5,gov_PC1,gov_PC2,gov_PC3,gov_PC4,gov_PC5,partnership_lag,partnership_change,is_increase
2016,"Congo, Rep.",COG,2278737972,767102009,1964,11274.53,-1.16,-0.52,-1.13,-1.21,-1.15,-1.23,10931328151,5222536,2093.107286,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,52,-1.066666667,0.208459388,0.070174639,0,0,1,0.563080738,0.998441382,-0.254840234,-0.365550465,-0.322845991,-0.178913415,3.557716661,0.220698989,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-1.13108853,-0.458372736,-1.127395824,-1.252041923,-1.090690464,-1.165256761,-1.12083103,-0.049356352,2.648796595,-1.332576618,1.929836424,0.714738106,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-2.565159466,0.537795722,0.01763285,-0.003141903,-0.072204767,0,3,TRUE
2023,Colombia,COL,6387279903,12461217954,1980,14937.48,0.21,-0.72,-0.08,0.1,-0.46,-0.31,3.63494E+11,52321152,6947.359287,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,43,-0.21,0.017571907,0.034281786,3,0,1,1.518842916,0.463928659,0.203925015,0.200355466,0.367504856,0.033356317,-0.128292633,-0.091242974,1.277066017,-0.219225392,-0.231110698,2.09839644,-0.248424495,0.281867465,-0.667566917,-0.055297167,0.110418578,-0.391096447,-0.251543449,-0.175141416,0.370733904,-0.236520177,0.075702449,0.004432761,-0.01997285,1.568162485,-0.921843175,-0.596357323,-1.289040903,-0.934084275,-0.388355338,-0.670201747,0.269473651,0.190012577,-0.020472065,0,1,TRUE
2015,Costa Rica,CRI,826034107,1330986269,2007,14090.98,1.15,0.67,0.31,0.66,0.49,0.69,56441920821,4818038,11714.7106,1,0,1,1,0,0,0,0,0,0,1,1,0,2,2,8,0.661666667,0.014635117,0.02358152,2,1,1,1.297968298,-1.614731934,-0.258780257,-0.2925004,-0.289557628,-0.253968037,-0.185001616,-0.184238142,1.277066017,-0.219225392,3.469093216,0.881289162,-0.248424495,1.251340922,0.786332638,0.342910906,0.692844441,0.572112707,0.741623194,0.787106966,-0.557255404,-0.126280047,-0.152811215,-0.129243784,-0.04978181,1.945652952,1.855896789,1.307659075,-2.255428039,0.726838407,1.763964264,0.02599266,0.689268494,-0.10267902,0.238007909,0,2,TRUE
2021,Cyprus,CYP,28869326,860084960,1971,7076.428,0.86,0.42,0.7,0.85,0.61,0.37,30372874320,1317309,23056.75762,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,50,0.635,0.000950497,0.028317536,0,0,1,-0.532316992,0.879660777,-0.292879196,-0.334344407,-0.317356832,-0.295153927,-0.449249621,-0.143077798,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.952248047,0.524839912,0.741118979,0.890453216,0.693781232,0.423809868,0.757669157,-0.662955108,-0.265687073,-0.0249557,-0.292828281,-0.106326545,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,1.723096164,-0.205762039,0.293771844,0.286172765,-0.074668979,0,2,TRUE
2016,Czech Republic,CZE,2947307179,8054964862,1949,7462.242,1.03,0.96,1.01,0.97,0.99,0.56,1.98161E+11,10566332,18753.96867,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,67,0.92,0.014873321,0.040648658,0,0,1,-0.431647742,1.889295922,-0.202788855,-0.065024502,0.107385958,-0.144371476,-0.180401921,-0.035908988,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.127578353,1.089664199,1.057643344,1.015258759,1.079064894,0.612511531,1.072285741,-0.130931611,-0.070509389,-0.019173012,-0.22473115,-0.025325421,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,2.429823171,0.14280141,0.296217387,0.275239621,-0.207578663,0,2,TRUE
2004,Germany,DEU,30158916191,23754274338,1972,7785.342,1.5,0.64,1.47,1.47,1.62,1.84,2.85232E+12,82516260,34566.73591,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,1.423333333,0.010573477,0.00832806,0,0,0,-0.347342261,-0.189364671,0.498041221,4.195222099,1.034179538,1.261528977,-0.263431288,-0.316804757,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.612315081,0.754953511,1.52732466,1.535281851,1.717824649,1.883764834,1.627924386,3.599106046,-1.166256217,-0.031702562,-0.815888684,2.303560418,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.719423019,-0.627690001,-0.036558254,-0.340610214,0.120793502,0,1,TRUE
2010,Germany,DEU,74378385033,68068776044,1972,7785.342,1.3,0.8,1.52,1.57,1.64,1.77,3.46815E+12,81776930,42409.9357,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,1.433333333,0.0214461,0.019626801,0,0,0,-0.347342261,0.166977145,0.490839758,5.183715081,3.650243368,3.546148428,-0.053482529,-0.218608289,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.406044133,0.922308855,1.578376977,1.639286469,1.738102736,1.814243169,1.638963564,6.905079936,-0.718399746,-0.369750418,-1.692421623,1.355178853,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.74634716,-0.441644977,-0.200793832,-0.177308423,0.128248489,1,1,TRUE
2014,Germany,DEU,1.04776E+11,72730919502,1972,7785.342,1.44,0.93,1.66,1.7,1.85,1.81,3.9658E+12,80982500,48971.08247,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,42,1.565,0.026419952,0.01833953,0,0,1,-0.347342261,0.404538356,0.483101593,5.982498294,3.925468507,5.116668905,0.042561816,-0.229795864,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.550433797,1.058285072,1.721323465,1.774492473,1.951022655,1.853969835,1.784312746,8.356691855,-0.573994327,-0.67689921,-2.118270912,1.194589472,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,4.077441265,-0.430249462,-0.169122071,-0.121639413,0.078121606,2,1,TRUE
2017,Djibouti,DJI,12307,2199860995,1979,7769.803,-1.41,-0.73,-1.09,-0.69,-0.93,-0.67,2762581334,1054841,2618.955211,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,-0.92,4.45E-06,0.796306327,0,0,1,-0.351396804,0.166977145,-0.295435772,-0.378662302,-0.238264447,-0.296644838,-0.467517556,6.53145229,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-1.388927216,-0.678026626,-1.08655397,-0.711217907,-0.867631502,-0.609083441,-0.95892308,-0.549356649,3.654628363,5.222316175,-1.442993415,0.289739391,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-2.171410102,0.227107195,-0.520339317,-0.024909312,0.402576641,0,2,TRUE
2008,Denmark,DNK,2599743986,5577270338,1950,7208.356,1.54,1.07,2.24,1.87,1.95,2.38,3.54979E+11,5493621,64616.66576,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,1.841666667,0.007323646,0.015711529,0,0,0,-0.497893428,1.354783198,-0.252199724,0.186688862,-0.038882347,-0.16232849,-0.326185048,-0.25263561,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.653569271,1.204720999,2.313530342,1.951300324,2.052413092,2.420074821,2.089730014,-0.127812409,-0.336669055,-0.147495754,-0.326150247,0.182895514,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,4.77766604,-0.500050733,-0.453503816,-0.318594716,-0.064817307,0,3,TRUE
